,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2018-01-15 00:00:00,7,71.9,8,69.7,8,62.7,23,67.9,3,100
1,2018-01-15 00:05:00,5,71.9,14,69.6,5,61.5,24,68.4,3,100
2,2018-01-15 00:10:00,7,71.9,11,69.4,8,59.9,26,67.2,3,100
3,2018-01-15 00:15:00,1,71.8,10,69.6,10,59.1,21,64.7,3,100
4,2018-01-15 00:20:00,8,71.8,11,69.5,4,59.0,23,68.5,3,100
5,2018-01-15 00:25:00,6,71.8,12,69.7,10,60.0,28,66.7,3,100
6,2018-01-15 00:30:00,3,71.8,6,69.7,8,59.2,17,65.1,3,100
7,2018-01-15 00:35:00,3,71.9,8,69.7,9,50.9,20,61.6,3,100
8,2018-01-15 00:40:00,8,71.8,14,69.6,10,56.4,32,66.0,3,100
9,2018-01-15 00:45:00,4,71.7,7,69.3,6,57.5,17,65.7,3,100
10,2018-01-15 00:50:00,8,71.7,10,69.5,4,58.6,22,68.3,3,100
11,2018-01-15 00:55:00,3,71.8,9,69.7,5,58.2,17,66.7,3,100
12,2018-01-15 01:00:00,0,71.8,8,69.7,7,58.0,15,64.2,3,100
13,2018-01-15 01:05:00,5,71.9,7,69.8,6,57.0,18,66.1,3,100
14,2018-01-15 01:10:00,5,71.9,8,69.5,7,57.6,20,65.9,3,100
15,2018-01-15 01:15:00,0,71.9,5,69.6,5,58.8,10,64.2,3,100
16,2018-01-15 01:20:00,6,72.0,9,69.3,6,58.6,21,67.0,3,100
17,2018-01-15 01:25:00,1,71.8,10,69.4,6,57.3,17,65.3,3,100
18,2018-01-15 01:30:00,2,71.8,8,69.3,6,56.4,16,64.8,3,100
19,2018-01-15 01:35:00,3,71.8,5,69.5,6,58.8,14,65.4,3,100
20,2018-01-15 01:40:00,0,71.8,9,69.4,5,58.7,14,65.6,3,100
21,2018-01-15 01:45:00,0,71.8,3,69.3,2,60.1,5,65.6,3,100
22,2018-01-15 01:50:00,1,71.8,4,69.5,6,59.0,11,64.0,3,100
23,2018-01-15 01:55:00,3,71.8,5,69.3,5,59.5,13,66.1,3,100
24,2018-01-15 02:00:00,0,71.8,2,69.4,3,60.5,5,64.1,3,100
25,2018-01-15 02:05:00,5,71.8,6,69.6,7,57.3,18,65.4,3,100
26,2018-01-15 02:10:00,0,71.8,4,69.4,4,57.2,8,63.3,3,100
27,2018-01-15 02:15:00,0,71.8,6,69.6,6,59.1,12,64.3,3,100
28,2018-01-15 02:20:00,2,71.9,7,69.4,4,59.6,13,66.8,3,100
29,2018-01-15 02:25:00,3,71.9,3,69.6,7,57.1,13,63.4,3,100
30,2018-01-15 02:30:00,2,71.9,4,69.4,7,54.2,13,61.6,3,100
31,2018-01-15 02:35:00,0,71.9,5,69.4,3,57.4,8,64.9,3,100
32,2018-01-15 02:40:00,0,71.9,7,69.5,10,51.5,17,58.9,3,100
33,2018-01-15 02:45:00,1,72.0,3,69.6,9,50.3,13,56.4,3,100
34,2018-01-15 02:50:00,1,71.9,6,69.7,6,53.1,13,62.2,3,100
35,2018-01-15 02:55:00,3,71.8,4,69.9,15,46.9,22,54.5,3,100
36,2018-01-15 03:00:00,1,71.8,8,69.8,7,52.0,16,62.1,3,100
