,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2018-01-15 00:00:00,4,71.9,10,69.7,11,62.7,25,67.0,3,100
1,2018-01-15 00:05:00,4,71.9,13,69.4,11,61.9,28,66.8,3,100
2,2018-01-15 00:10:00,7,72.0,10,69.6,9,62.1,26,67.6,3,100
3,2018-01-15 00:15:00,3,72.0,8,69.6,14,62.3,25,65.8,3,100
4,2018-01-15 00:20:00,6,71.6,12,69.5,9,61.2,27,67.2,3,100
5,2018-01-15 00:25:00,6,71.9,13,69.6,7,61.7,26,68.0,3,100
6,2018-01-15 00:30:00,3,72.0,7,69.4,14,60.5,24,64.5,3,100
7,2018-01-15 00:35:00,4,72.0,8,69.5,10,61.0,22,66.1,3,100
8,2018-01-15 00:40:00,7,72.0,13,69.5,7,61.7,27,68.1,3,100
9,2018-01-15 00:45:00,4,71.8,7,69.3,9,61.8,20,66.4,3,100
10,2018-01-15 00:50:00,9,71.9,10,69.5,7,61.5,26,68.2,3,100
11,2018-01-15 00:55:00,3,72.0,7,69.6,9,61.5,19,66.1,3,100
12,2018-01-15 01:00:00,2,71.4,10,69.7,7,62.2,19,67.1,3,100
13,2018-01-15 01:05:00,5,71.2,8,69.8,8,62.0,21,67.2,3,100
14,2018-01-15 01:10:00,4,71.5,8,69.6,10,61.7,22,66.4,3,100
15,2018-01-15 01:15:00,1,71.1,7,69.7,10,62.2,18,65.6,3,100
16,2018-01-15 01:20:00,3,71.1,8,69.5,10,62.2,21,66.3,3,100
17,2018-01-15 01:25:00,1,71.6,7,69.6,9,62.2,17,65.8,3,100
18,2018-01-15 01:30:00,4,71.7,6,69.5,9,61.7,19,66.3,3,100
19,2018-01-15 01:35:00,2,71.7,7,69.6,7,62.1,16,66.6,3,100
20,2018-01-15 01:40:00,0,71.7,6,69.3,7,61.3,13,65.0,3,100
21,2018-01-15 01:45:00,0,71.7,5,69.5,3,61.9,8,66.6,3,100
22,2018-01-15 01:50:00,1,71.7,3,69.6,9,61.5,13,64.2,3,100
23,2018-01-15 01:55:00,3,71.8,5,69.4,7,61.6,15,66.2,3,100
24,2018-01-15 02:00:00,3,71.6,4,69.6,4,62.2,11,67.5,3,100
25,2018-01-15 02:05:00,2,71.7,5,69.2,13,62.1,20,64.8,3,100
26,2018-01-15 02:10:00,0,71.7,3,69.5,7,61.6,10,64.0,3,100
27,2018-01-15 02:15:00,3,71.4,3,69.6,7,61.8,13,65.8,3,100
28,2018-01-15 02:20:00,2,71.1,8,69.5,6,61.6,16,66.7,3,100
29,2018-01-15 02:25:00,4,71.4,2,69.6,11,61.0,17,64.5,3,100
30,2018-01-15 02:30:00,1,71.6,7,69.4,14,61.2,22,64.3,3,100
31,2018-01-15 02:35:00,0,71.6,6,69.5,5,61.5,11,65.9,3,100
32,2018-01-15 02:40:00,0,71.6,7,69.6,17,61.6,24,63.9,3,100
33,2018-01-15 02:45:00,1,71.8,4,69.9,12,60.5,17,63.4,3,100
34,2018-01-15 02:50:00,2,71.6,6,69.8,15,60.8,23,64.1,3,100
35,2018-01-15 02:55:00,4,71.4,3,69.9,19,60.7,26,63.4,3,100
36,2018-01-15 03:00:00,2,71.8,9,69.7,7,61.5,18,66.7,3,100
37,2018-01-15 03:05:00,2,71.9,7,69.3,21,60.9,30,63.6,3,100
38,2018-01-15 03:10:00,1,71.7,7,69.4,12,61.5,20,64.8,3,100
39,2018-01-15 03:15:00,0,71.7,3,69.4,17,61.3,20,62.5,3,100
40,2018-01-15 03:20:00,2,71.7,6,69.5,9,61.5,17,65.5,3,100
41,2018-01-15 03:25:00,4,71.6,4,69.4,7,62.0,15,66.5,3,100
42,2018-01-15 03:30:00,2,71.5,9,69.3,16,61.8,27,65.0,3,100
43,2018-01-15 03:35:00,2,71.7,8,69.0,14,61.8,24,65.0,3,100
44,2018-01-15 03:40:00,7,71.7,7,69.4,17,61.4,31,65.5,3,100
45,2018-01-15 03:45:00,4,71.5,9,68.7,14,60.7,27,65.0,3,100
46,2018-01-15 03:50:00,2,71.6,15,68.9,17,61.1,34,65.2,3,100
47,2018-01-15 03:55:00,6,71.7,8,69.1,16,61.6,30,65.6,3,100
48,2018-01-15 04:00:00,2,72.0,8,69.3,17,61.7,27,64.7,3,100
49,2018-01-15 04:05:00,4,72.0,8,69.4,16,62.2,28,65.7,3,100
50,2018-01-15 04:10:00,3,72.1,4,69.6,19,61.4,26,63.9,3,100
51,2018-01-15 04:15:00,3,72.0,15,69.2,15,61.8,33,66.1,3,100
52,2018-01-15 04:20:00,3,72.1,9,69.4,15,61.3,27,65.2,3,100
53,2018-01-15 04:25:00,10,71.1,9,69.0,14,61.7,33,66.5,3,100
54,2018-01-15 04:30:00,3,71.3,4,69.4,13,60.0,20,63.6,3,100
55,2018-01-15 04:35:00,9,71.2,11,69.4,14,59.6,34,65.8,3,100
56,2018-01-15 04:40:00,6,70.9,13,69.6,24,57.8,43,63.2,3,100
57,2018-01-15 04:45:00,8,71.4,11,68.8,18,59.6,37,64.9,3,100
58,2018-01-15 04:50:00,13,71.1,18,69.0,16,61.2,47,66.9,3,100
59,2018-01-15 04:55:00,15,71.5,15,69.2,27,59.3,57,65.1,3,100
60,2018-01-15 05:00:00,8,71.6,12,68.8,34,59.6,54,63.4,3,100
61,2018-01-15 05:05:00,12,71.8,27,68.8,10,61.0,49,67.9,3,100
62,2018-01-15 05:10:00,11,72.0,19,68.2,19,61.6,49,66.5,3,100
63,2018-01-15 05:15:00,19,71.8,22,67.8,28,60.7,69,66.0,3,100
64,2018-01-15 05:20:00,19,71.5,19,68.3,35,59.1,73,64.7,3,100
65,2018-01-15 05:25:00,20,70.7,25,68.3,17,60.5,62,66.9,3,100
66,2018-01-15 05:30:00,16,71.2,20,68.4,15,60.5,51,67.0,3,100
67,2018-01-15 05:35:00,17,71.7,18,68.9,22,60.2,57,66.4,3,100
68,2018-01-15 05:40:00,33,71.7,28,67.8,47,59.1,108,65.2,3,100
69,2018-01-15 05:45:00,23,71.6,21,68.5,35,58.1,79,64.8,3,100
70,2018-01-15 05:50:00,8,71.8,19,68.7,34,58.9,61,63.6,3,100
71,2018-01-15 05:55:00,16,71.8,24,68.6,31,60.4,71,65.7,3,100
72,2018-01-15 06:00:00,13,71.8,23,67.2,24,58.2,60,64.6,3,100
73,2018-01-15 06:05:00,19,71.8,20,67.9,43,54.2,82,61.6,3,100
74,2018-01-15 06:10:00,18,71.9,18,68.1,30,57.3,66,64.2,3,100
75,2018-01-15 06:15:00,24,69.8,24,68.1,31,56.1,79,63.9,3,100
76,2018-01-15 06:20:00,14,70.8,23,68.2,26,58.8,63,64.9,3,100
77,2018-01-15 06:25:00,27,71.1,36,64.5,31,61.0,94,65.2,3,100
78,2018-01-15 06:30:00,19,71.0,24,65.8,38,60.3,81,64.4,3,100
79,2018-01-15 06:35:00,19,71.3,27,67.2,28,58.2,74,64.8,3,100
80,2018-01-15 06:40:00,19,71.0,29,67.7,19,59.4,67,66.3,3,100
81,2018-01-15 06:45:00,26,69.5,34,64.7,41,57.8,101,63.1,3,100
82,2018-01-15 06:50:00,21,70.0,27,66.5,18,58.8,66,65.5,3,100
83,2018-01-15 06:55:00,18,70.4,21,67.6,29,55.7,68,63.3,3,100
84,2018-01-15 07:00:00,28,68.7,31,66.9,36,55.7,95,63.2,3,100
85,2018-01-15 07:05:00,13,70.4,23,67.2,40,57.6,76,62.7,3,100
86,2018-01-15 07:10:00,30,70.5,42,64.3,38,59.7,110,64.4,3,100
87,2018-01-15 07:15:00,25,70.5,31,65.7,33,58.5,89,64.4,3,100
88,2018-01-15 07:20:00,23,70.8,31,64.4,43,59.0,97,63.5,3,100
89,2018-01-15 07:25:00,15,71.5,25,65.2,25,52.5,65,61.8,3,100
90,2018-01-15 07:30:00,34,71.5,31,64.9,34,52.8,99,63.0,3,100
91,2018-01-15 07:35:00,21,72.0,35,65.2,27,56.2,83,64.0,3,100
