5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
1/22/2018 0:00,10,69.30,25,64.70,35,66.10,2,0.00
1/22/2018 0:05,10,69.20,25,64.50,35,65.90,2,0.00
1/22/2018 0:10,11,69.10,26,64.50,37,65.80,2,0.00
1/22/2018 0:15,13,69.20,28,64.60,41,66.00,2,0.00
1/22/2018 0:20,13,69.20,29,64.60,42,66.00,2,0.00
1/22/2018 0:25,9,69.20,24,64.50,33,65.80,2,0.00
1/22/2018 0:30,8,69.20,23,64.60,31,65.80,2,0.00
1/22/2018 0:35,7,69.00,22,64.40,29,65.50,2,0.00
1/22/2018 0:40,8,69.10,23,64.50,31,65.70,2,0.00
1/22/2018 0:45,8,69.10,24,64.50,32,65.70,2,0.00
1/22/2018 0:50,7,69.20,22,64.60,29,65.70,2,0.00
1/22/2018 0:55,9,69.20,24,64.50,33,65.80,2,0.00
1/22/2018 1:00,7,69.10,22,64.50,29,65.60,2,0.00
1/22/2018 1:05,13,69.10,21,64.50,34,66.20,2,0.00
1/22/2018 1:10,7,69.20,22,64.50,29,65.70,2,0.00
1/22/2018 1:15,5,69.20,21,64.50,26,65.40,2,0.00
1/22/2018 1:20,15,69.20,22,64.50,37,66.40,2,0.00
1/22/2018 1:25,10,69.20,20,64.60,30,66.10,2,0.00
1/22/2018 1:30,6,69.20,21,64.60,27,65.60,2,0.00
1/22/2018 1:35,9,68.90,24,64.30,33,65.50,2,0.00
1/22/2018 1:40,12,69.00,21,64.40,33,66.10,2,0.00
1/22/2018 1:45,5,69.20,21,64.50,26,65.40,2,0.00
1/22/2018 1:50,7,69.20,22,64.50,29,65.70,2,0.00
1/22/2018 1:55,7,69.30,22,64.70,29,65.80,2,0.00
1/22/2018 2:00,5,69.30,20,64.70,25,65.60,2,0.00
1/22/2018 2:05,11,69.30,21,64.70,32,66.30,2,0.00
1/22/2018 2:10,6,69.20,21,64.60,27,65.60,2,0.00
1/22/2018 2:15,6,69.00,22,64.40,28,65.40,2,0.00
1/22/2018 2:20,5,69.20,21,64.50,26,65.40,2,0.00
1/22/2018 2:25,5,69.30,20,64.70,25,65.60,2,0.00
1/22/2018 2:30,8,69.20,23,64.50,31,65.70,2,0.00
1/22/2018 2:35,9,69.00,24,64.40,33,65.70,2,0.00
1/22/2018 2:40,8,69.10,23,64.40,31,65.60,2,0.00
1/22/2018 2:45,25,68.40,27,63.80,52,66.00,2,0.00
1/22/2018 2:50,10,68.80,25,64.10,35,65.50,2,0.00
1/22/2018 2:55,9,68.80,24,64.20,33,65.40,2,0.00
1/22/2018 3:00,10,68.70,25,64.00,35,65.40,2,0.00
1/22/2018 3:05,11,68.90,27,64.30,38,65.60,2,0.00
1/22/2018 3:10,8,69.00,23,64.40,31,65.60,2,0.00
1/22/2018 3:15,7,68.90,22,64.30,29,65.40,2,0.00
1/22/2018 3:20,8,69.10,24,64.40,32,65.60,2,0.00
1/22/2018 3:25,7,69.20,22,64.60,29,65.70,2,0.00
1/22/2018 3:30,13,69.00,29,64.40,42,65.90,2,0.00
1/22/2018 3:35,13,69.00,28,64.40,41,65.90,2,0.00
1/22/2018 3:40,11,69.10,27,64.40,38,65.80,2,0.00
1/22/2018 3:45,12,69.20,27,64.50,39,66.00,2,0.00
1/22/2018 3:50,11,69.20,27,64.60,38,66.00,2,0.00
1/22/2018 3:55,12,69.30,27,64.70,39,66.10,2,0.00
1/22/2018 4:00,15,69.10,31,64.50,46,66.00,2,0.00
1/22/2018 4:05,18,68.80,33,64.10,51,65.80,2,0.00
1/22/2018 4:10,24,67.20,39,62.40,63,64.20,2,0.00
1/22/2018 4:15,17,67.60,33,62.90,50,64.50,2,0.00
1/22/2018 4:20,21,68.00,37,63.30,58,65.00,2,0.00
1/22/2018 4:25,24,68.10,41,63.40,65,65.10,2,0.00
1/22/2018 4:30,32,67.30,50,62.50,82,64.40,2,0.00
1/22/2018 4:35,26,66.90,42,62.00,68,63.90,2,0.00
1/22/2018 4:40,39,66.20,57,61.20,96,63.20,2,0.00
1/22/2018 4:45,34,66.80,51,61.90,85,63.90,2,0.00
1/22/2018 4:50,39,66.80,56,61.90,95,63.90,2,0.00
1/22/2018 4:55,34,67.00,52,62.10,86,64.00,2,0.00
1/22/2018 5:00,35,66.60,52,61.70,87,63.70,2,0.00
1/22/2018 5:05,43,64.80,61,59.70,104,61.80,2,0.00
1/22/2018 5:10,38,63.90,56,58.70,94,60.80,2,0.00
1/22/2018 5:15,43,63.20,61,57.80,104,60.00,2,0.00
1/22/2018 5:20,50,63.10,68,57.70,118,60.00,2,0.00
1/22/2018 5:25,50,62.10,69,56.70,119,59.00,2,0.00
1/22/2018 5:30,43,60.30,62,54.70,105,57.00,2,0.00
1/22/2018 5:35,51,61.80,71,56.30,122,58.60,2,0.00
1/22/2018 5:40,51,62.10,71,56.60,122,58.90,2,0.00
1/22/2018 5:45,60,61.30,81,55.80,141,58.10,2,0.00
1/22/2018 5:50,59,60.70,80,55.10,139,57.50,2,0.00
1/22/2018 5:55,58,61.40,77,55.80,135,58.20,2,0.00
1/22/2018 6:00,63,61.40,83,55.90,146,58.30,2,0.00
1/22/2018 6:05,62,60.90,82,55.30,144,57.70,2,0.00
1/22/2018 6:10,52,59.40,72,53.60,124,56.00,2,0.00
1/22/2018 6:15,64,60.10,84,54.40,148,56.90,2,0.00
1/22/2018 6:20,64,60.50,85,55.00,149,57.40,2,0.00
1/22/2018 6:25,59,61.30,79,55.70,138,58.10,2,0.00
1/22/2018 6:30,64,60.10,86,54.40,150,56.90,2,0.00
1/22/2018 6:35,56,59.30,76,53.50,132,56.00,2,0.00
1/22/2018 6:40,74,59.80,95,54.20,169,56.60,2,0.00
1/22/2018 6:45,62,61.10,83,55.60,145,57.90,2,0.00
1/22/2018 6:50,69,59.60,90,53.90,159,56.30,2,0.00
1/22/2018 6:55,64,59.10,84,53.30,148,55.80,2,0.00
1/22/2018 7:00,56,59.30,75,53.50,131,56.00,2,0.00
1/22/2018 7:05,70,60.10,92,54.30,162,56.80,2,0.00
1/22/2018 7:10,69,59.80,91,54.00,160,56.50,2,0.00
1/22/2018 7:15,72,59.40,95,53.70,167,56.10,2,0.00
1/22/2018 7:20,79,58.20,102,52.30,181,54.90,2,0.00
