5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
9/18/2017 0:00,14,68.90,28,64.70,42,66.10,2,0.00
9/18/2017 0:05,11,68.80,25,64.60,36,65.90,2,0.00
9/18/2017 0:10,12,68.90,26,64.70,38,66.00,2,0.00
9/18/2017 0:15,16,69.00,31,64.80,47,66.20,2,0.00
9/18/2017 0:20,9,68.90,24,64.70,33,65.90,2,0.00
9/18/2017 0:25,8,68.80,23,64.60,31,65.70,2,0.00
9/18/2017 0:30,12,68.50,27,64.30,39,65.60,2,0.00
9/18/2017 0:35,9,68.70,23,64.50,32,65.70,2,0.00
9/18/2017 0:40,11,68.80,26,64.60,37,65.80,2,0.00
9/18/2017 0:45,7,68.70,22,64.50,29,65.50,2,0.00
9/18/2017 0:50,10,68.80,25,64.60,35,65.80,2,0.00
9/18/2017 0:55,8,68.60,23,64.40,31,65.50,2,0.00
9/18/2017 1:00,7,68.70,22,64.50,29,65.50,2,0.00
9/18/2017 1:05,10,68.70,24,64.50,34,65.80,2,0.00
9/18/2017 1:10,10,68.90,25,64.70,35,65.90,2,0.00
9/18/2017 1:15,9,68.80,24,64.60,33,65.80,2,0.00
9/18/2017 1:20,10,68.80,24,64.60,34,65.80,2,0.00
9/18/2017 1:25,9,68.70,24,64.50,33,65.60,2,0.00
9/18/2017 1:30,7,68.70,22,64.50,29,65.50,2,0.00
9/18/2017 1:35,7,68.80,22,64.60,29,65.60,2,0.00
9/18/2017 1:40,9,68.90,24,64.70,33,65.80,2,0.00
9/18/2017 1:45,7,68.70,22,64.50,29,65.50,2,0.00
9/18/2017 1:50,7,68.80,22,64.60,29,65.60,2,0.00
9/18/2017 1:55,9,68.50,23,64.30,32,65.40,2,0.00
9/18/2017 2:00,7,68.60,21,64.40,28,65.50,2,0.00
9/18/2017 2:05,7,68.70,22,64.50,29,65.60,2,0.00
9/18/2017 2:10,9,68.70,24,64.50,33,65.70,2,0.00
9/18/2017 2:15,9,68.80,24,64.60,33,65.80,2,0.00
9/18/2017 2:20,7,68.60,22,64.40,29,65.40,2,0.00
9/18/2017 2:25,6,68.60,21,64.40,27,65.40,2,0.00
9/18/2017 2:30,9,68.80,24,64.60,33,65.70,2,0.00
9/18/2017 2:35,10,68.90,25,64.70,35,65.90,2,0.00
9/18/2017 2:40,9,68.60,24,64.40,33,65.50,2,0.00
9/18/2017 2:45,11,68.70,26,64.50,37,65.80,2,0.00
9/18/2017 2:50,12,68.30,26,64.10,38,65.40,2,0.00
9/18/2017 2:55,7,68.50,22,64.30,29,65.40,2,0.00
9/18/2017 3:00,10,68.50,25,64.30,35,65.50,2,0.00
9/18/2017 3:05,10,68.70,25,64.50,35,65.70,2,0.00
9/18/2017 3:10,7,68.80,21,64.60,28,65.70,2,0.00
9/18/2017 3:15,10,68.80,25,64.60,35,65.80,2,0.00
9/18/2017 3:20,10,68.80,25,64.60,35,65.80,2,0.00
9/18/2017 3:25,11,68.80,26,64.60,37,65.90,2,0.00
9/18/2017 3:30,9,68.70,24,64.50,33,65.70,2,0.00
9/18/2017 3:35,13,68.80,28,64.60,41,65.90,2,0.00
9/18/2017 3:40,14,68.70,29,64.50,43,65.80,2,0.00
9/18/2017 3:45,12,68.70,27,64.50,39,65.80,2,0.00
9/18/2017 3:50,11,68.80,26,64.60,37,65.90,2,0.00
9/18/2017 3:55,16,68.80,31,64.60,47,66.00,2,0.00
9/18/2017 4:00,13,68.90,28,64.70,41,66.00,2,0.00
9/18/2017 4:05,19,68.90,34,64.70,53,66.20,2,0.00
9/18/2017 4:10,18,68.90,33,64.70,51,66.20,2,0.00
9/18/2017 4:15,13,68.70,28,64.50,41,65.80,2,0.00
9/18/2017 4:20,23,68.70,38,64.50,61,66.10,2,0.00
9/18/2017 4:25,22,68.40,37,64.20,59,65.70,2,0.00
9/18/2017 4:30,15,68.60,30,64.40,45,65.80,2,0.00
9/18/2017 4:35,19,68.90,33,64.70,52,66.30,2,0.00
9/18/2017 4:40,41,68.90,55,64.70,96,66.50,2,0.00
9/18/2017 4:45,53,68.50,68,64.30,121,66.20,2,0.00
9/18/2017 4:50,41,69.10,55,64.90,96,66.70,2,0.00
9/18/2017 4:55,51,68.20,66,63.90,117,65.80,2,0.00
9/18/2017 5:00,47,68.50,62,64.20,109,66.10,2,0.00
9/18/2017 5:05,38,68.40,52,64.20,90,65.90,2,0.00
9/18/2017 5:10,50,68.20,65,64.00,115,65.90,2,0.00
9/18/2017 5:15,50,68.20,65,63.90,115,65.80,2,0.00
9/18/2017 5:20,47,67.60,62,63.40,109,65.20,2,0.00
9/18/2017 5:25,44,68.10,59,63.80,103,65.60,2,0.00
9/18/2017 5:30,54,66.80,69,62.50,123,64.40,2,0.00
9/18/2017 5:35,61,67.00,77,62.60,138,64.60,2,0.00
9/18/2017 5:40,68,68.00,84,63.80,152,65.70,2,0.00
9/18/2017 5:45,65,67.50,80,63.20,145,65.10,2,0.00
9/18/2017 5:50,64,68.00,79,63.60,143,65.60,2,0.00
9/18/2017 5:55,64,66.90,80,62.60,144,64.50,2,0.00
9/18/2017 6:00,75,66.90,91,62.60,166,64.50,2,0.00
9/18/2017 6:05,64,66.70,79,62.40,143,64.30,2,0.00
9/18/2017 6:10,71,65.30,87,60.90,158,62.90,2,0.00
9/18/2017 6:15,61,66.00,76,61.60,137,63.60,2,0.00
9/18/2017 6:20,69,66.10,85,61.70,154,63.70,2,0.00
9/18/2017 6:25,78,66.40,94,62.00,172,64.00,2,0.00
9/18/2017 6:30,68,65.70,85,61.40,153,63.30,2,0.00
9/18/2017 6:35,71,65.80,88,61.50,159,63.40,2,0.00
9/18/2017 6:40,75,66.50,92,62.20,167,64.10,2,0.00
9/18/2017 6:45,83,66.10,98,61.70,181,63.70,2,0.00
9/18/2017 6:50,65,66.30,81,61.90,146,63.80,2,0.00
9/18/2017 6:55,74,67.20,90,62.90,164,64.80,2,0.00
9/18/2017 7:00,73,66.40,89,62.00,162,64.00,2,0.00
9/18/2017 7:05,79,67.00,95,62.60,174,64.60,2,0.00
9/18/2017 7:10,69,66.40,85,62.10,154,64.00,2,0.00
9/18/2017 7:15,78,67.30,94,63.00,172,64.90,2,0.00
9/18/2017 7:20,85,67.80,101,63.50,186,65.50,2,0.00
9/18/2017 7:25,83,66.80,99,62.40,182,64.40,2,0.00
9/18/2017 7:30,79,66.90,96,62.60,175,64.50,2,0.00
9/18/2017 7:35,74,66.40,89,62.10,163,64.10,2,0.00
9/18/2017 7:40,80,66.60,96,62.30,176,64.20,2,0.00
9/18/2017 7:45,80,67.30,96,63.00,176,65.00,2,0.00
9/18/2017 7:50,94,67.30,109,62.90,203,64.90,2,0.00
9/18/2017 7:55,78,66.00,96,61.70,174,63.60,2,0.00
9/18/2017 8:00,76,66.50,92,62.10,168,64.10,2,0.00
9/18/2017 8:05,91,66.20,107,61.90,198,63.90,2,0.00
9/18/2017 8:10,73,66.40,89,62.10,162,64.00,2,0.00
9/18/2017 8:15,87,65.40,103,61.10,190,63.00,2,0.00
9/18/2017 8:20,85,64.80,101,60.50,186,62.50,2,0.00
9/18/2017 8:25,84,64.40,101,60.10,185,62.10,2,0.00
9/18/2017 8:30,88,65.60,104,61.30,192,63.30,2,0.00
9/18/2017 8:35,88,65.30,104,60.90,192,62.90,2,0.00
9/18/2017 8:40,83,65.50,98,61.20,181,63.10,2,0.00
9/18/2017 8:45,82,65.20,97,60.80,179,62.80,2,0.00
9/18/2017 8:50,82,64.90,98,60.50,180,62.50,2,0.00
9/18/2017 8:55,86,64.50,101,60.10,187,62.20,2,0.00
9/18/2017 9:00,78,63.90,94,59.60,172,61.50,2,0.00
9/18/2017 9:05,83,64.70,98,60.30,181,62.30,2,0.00
9/18/2017 9:10,80,64.20,96,59.80,176,61.80,2,0.00
9/18/2017 9:15,85,64.30,100,60.00,185,62.00,2,0.00
9/18/2017 9:20,88,65.10,103,60.80,191,62.80,2,0.00
9/18/2017 9:25,76,65.70,93,61.30,169,63.30,2,0.00
9/18/2017 9:30,76,66.50,91,62.20,167,64.20,2,0.00
9/18/2017 9:35,81,65.10,96,60.80,177,62.70,2,0.00
9/18/2017 9:40,87,64.90,103,60.60,190,62.60,2,0.00
9/18/2017 9:45,76,64.90,91,60.50,167,62.50,2,0.00
9/18/2017 9:50,82,64.40,97,60.00,179,62.00,2,0.00
9/18/2017 9:55,70,63.70,85,59.30,155,61.30,2,0.00
9/18/2017 10:00,64,64.00,80,59.70,144,61.60,2,0.00
9/18/2017 10:05,78,63.50,92,59.20,170,61.20,2,0.00
9/18/2017 10:10,69,63.90,84,59.70,153,61.60,2,0.00
9/18/2017 10:15,63,64.10,76,59.80,139,61.80,2,0.00
9/18/2017 10:20,70,63.80,83,59.50,153,61.50,2,0.00
9/18/2017 10:25,57,65.50,72,61.20,129,63.10,2,0.00
9/18/2017 10:30,65,65.10,79,60.90,144,62.80,2,0.00
9/18/2017 10:35,58,64.60,73,60.30,131,62.20,2,0.00
9/18/2017 10:40,65,63.30,80,59.00,145,61.00,2,0.00
9/18/2017 10:45,73,63.00,87,58.70,160,60.70,2,0.00
9/18/2017 10:50,51,64.40,65,60.10,116,62.00,2,0.00
9/18/2017 10:55,59,63.20,73,58.90,132,60.90,2,0.00
9/18/2017 11:00,51,64.20,65,59.90,116,61.80,2,0.00
9/18/2017 11:05,63,63.60,77,59.30,140,61.20,2,0.00
9/18/2017 11:10,58,63.60,72,59.30,130,61.20,2,0.00
9/18/2017 11:15,45,64.80,59,60.40,104,62.30,2,0.00
9/18/2017 11:20,56,65.30,69,61.00,125,62.90,2,0.00
9/18/2017 11:25,54,65.90,68,61.60,122,63.50,2,0.00
9/18/2017 11:30,69,65.00,83,60.70,152,62.70,2,0.00
9/18/2017 11:35,58,65.30,73,61.00,131,62.90,2,0.00
9/18/2017 11:40,61,65.40,75,61.20,136,63.10,2,0.00
9/18/2017 11:45,69,66.40,83,62.20,152,64.10,2,0.00
9/18/2017 11:50,54,66.40,68,62.10,122,64.00,2,0.00
9/18/2017 11:55,50,66.20,64,62.00,114,63.80,2,0.00
9/18/2017 12:00,48,67.50,63,63.30,111,65.10,2,0.00
9/18/2017 12:05,45,66.70,59,62.60,104,64.40,2,0.00
9/18/2017 12:10,53,65.80,67,61.60,120,63.40,2,0.00
9/18/2017 12:15,45,66.30,59,62.10,104,63.90,2,0.00
9/18/2017 12:20,54,64.70,68,60.40,122,62.30,2,0.00
9/18/2017 12:25,59,65.10,74,60.80,133,62.70,2,0.00
9/18/2017 12:30,50,64.00,64,59.80,114,61.60,2,0.00
9/18/2017 12:35,55,64.40,70,60.10,125,62.00,2,0.00
9/18/2017 12:40,48,63.60,63,59.40,111,61.20,2,0.00
9/18/2017 12:45,56,65.00,70,60.80,126,62.70,2,0.00
9/18/2017 12:50,53,65.70,67,61.40,120,63.30,2,0.00
9/18/2017 12:55,54,67.20,68,63.00,122,64.90,2,0.00
