,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2017-12-25 00:00:00,65,16.7,24,69.7,2,62.7,91,31.7,3,100
1,2017-12-25 00:05:00,78,17.3,22,69.7,8,62.6,108,31.3,3,100
2,2017-12-25 00:10:00,59,16.8,18,70.0,6,62.6,83,31.6,3,100
3,2017-12-25 00:15:00,95,18.9,26,68.6,4,62.8,125,30.6,3,100
4,2017-12-25 00:20:00,83,18.0,12,68.9,3,63.0,98,25.6,3,100
5,2017-12-25 00:25:00,74,17.7,12,69.3,4,62.9,90,26.6,3,100
6,2017-12-25 00:30:00,84,18.0,15,68.5,18,62.3,117,31.3,3,100
7,2017-12-25 00:35:00,91,18.9,9,68.9,6,62.5,106,25.6,3,100
8,2017-12-25 00:40:00,90,18.0,16,69.3,8,62.5,114,28.3,3,100
9,2017-12-25 00:45:00,88,18.2,26,69.4,5,62.6,119,31.3,3,100
10,2017-12-25 00:50:00,55,14.9,14,69.6,5,62.6,74,28.5,3,100
11,2017-12-25 00:55:00,71,16.2,16,70.1,7,62.7,94,28.8,3,100
12,2017-12-25 01:00:00,86,14.7,15,70.2,5,62.6,106,24.8,3,100
13,2017-12-25 01:05:00,93,16.8,15,70.3,6,62.4,114,26.2,3,100
14,2017-12-25 01:10:00,74,14.5,12,70.2,1,62.4,87,22.7,3,100
15,2017-12-25 01:15:00,100,15.1,24,70.5,4,62.5,128,27.0,3,100
16,2017-12-25 01:20:00,87,16.2,15,70.4,2,62.6,104,24.9,3,100
17,2017-12-25 01:25:00,84,17.0,18,70.5,0,62.6,102,26.4,3,100
18,2017-12-25 01:30:00,76,14.2,10,70.2,1,62.5,87,21.2,3,100
19,2017-12-25 01:35:00,57,13.5,17,70.3,5,62.7,79,28.8,3,100
20,2017-12-25 01:40:00,85,14.7,18,70.9,8,62.6,111,27.3,3,100
21,2017-12-25 01:45:00,82,18.5,14,69.5,3,62.5,99,27.0,3,100
22,2017-12-25 01:50:00,94,14.7,16,69.8,6,62.7,116,24.8,3,100
23,2017-12-25 01:55:00,67,13.2,7,70.1,5,62.8,79,21.4,3,100
24,2017-12-25 02:00:00,77,13.0,14,70.2,3,62.6,94,23.1,3,100
25,2017-12-25 02:05:00,83,13.8,8,69.9,4,62.7,95,20.6,3,100
26,2017-12-25 02:10:00,74,12.5,11,70.4,2,62.7,87,21.0,3,100
27,2017-12-25 02:15:00,55,9.8,8,70.3,3,62.6,66,19.5,3,100
28,2017-12-25 02:20:00,79,11.4,7,70.5,1,62.6,87,16.7,3,100
29,2017-12-25 02:25:00,79,12.1,5,70.6,2,62.6,86,16.7,3,100
30,2017-12-25 02:30:00,86,11.3,10,71.4,3,62.5,99,18.9,3,100
31,2017-12-25 02:35:00,61,10.4,8,71.4,2,62.6,71,18.7,3,100
32,2017-12-25 02:40:00,60,10.8,11,71.4,3,62.2,74,21.9,3,100
