5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
1/22/2018 0:00,10,71.90,12,69.70,4,62.70,26,69.50,3,100.00
1/22/2018 0:05,5,71.90,14,69.30,3,62.60,22,69.00,3,100.00
1/22/2018 0:10,9,71.90,15,69.10,3,62.60,27,69.30,3,100.00
1/22/2018 0:15,8,71.90,19,69.30,4,62.70,31,69.10,3,100.00
1/22/2018 0:20,8,71.80,20,69.30,5,62.70,33,68.90,3,100.00
1/22/2018 0:25,12,71.80,12,69.20,1,62.70,25,70.20,3,100.00
1/22/2018 0:30,11,71.70,10,69.40,2,62.70,23,69.90,3,100.00
1/22/2018 0:35,5,71.90,7,68.80,2,62.80,14,69.10,3,100.00
1/22/2018 0:40,9,71.90,8,69.20,4,62.60,21,69.10,3,100.00
1/22/2018 0:45,5,71.80,9,69.20,4,62.60,18,68.50,3,100.00
1/22/2018 0:50,11,71.80,9,69.30,1,62.70,21,70.30,3,100.00
1/22/2018 0:55,6,72.10,12,69.30,2,62.60,20,69.50,3,100.00
1/22/2018 1:00,6,71.80,6,69.30,3,62.50,15,68.90,3,100.00
1/22/2018 1:05,6,71.90,8,69.20,0,62.50,14,70.40,3,100.00
1/22/2018 1:10,4,71.80,8,69.50,2,62.40,14,69.10,3,100.00
1/22/2018 1:15,7,71.70,4,69.40,2,62.50,13,69.60,3,100.00
1/22/2018 1:20,5,71.50,10,69.40,0,62.50,15,70.10,3,100.00
1/22/2018 1:25,2,71.70,4,69.50,0,62.50,6,70.20,3,100.00
1/22/2018 1:30,6,71.60,6,69.60,1,62.40,13,70.00,3,100.00
1/22/2018 1:35,10,71.60,13,68.80,1,62.40,24,69.70,3,100.00
1/22/2018 1:40,3,71.70,7,69.10,0,62.40,10,69.90,3,100.00
1/22/2018 1:45,3,71.60,5,69.30,1,62.60,9,69.30,3,100.00
1/22/2018 1:50,3,71.70,7,69.40,2,62.50,12,68.80,3,100.00
1/22/2018 1:55,6,71.70,7,69.50,2,62.70,15,69.50,3,100.00
1/22/2018 2:00,7,71.80,4,69.50,1,62.70,12,70.30,3,100.00
1/22/2018 2:05,7,71.90,6,69.60,0,62.70,13,70.80,3,100.00
1/22/2018 2:10,7,71.20,5,69.60,2,62.50,14,69.40,3,100.00
1/22/2018 2:15,2,71.70,4,69.00,4,62.50,10,66.90,3,100.00
1/22/2018 2:20,5,71.10,4,69.20,2,62.70,11,68.90,3,100.00
1/22/2018 2:25,11,71.30,3,69.60,1,62.60,15,70.40,3,100.00
1/22/2018 2:30,4,71.70,9,69.40,3,62.50,16,68.70,3,100.00
1/22/2018 2:35,4,71.70,12,69.10,2,62.40,18,68.90,3,100.00
1/22/2018 2:40,1,71.60,10,69.20,1,62.40,12,68.80,3,100.00
1/22/2018 2:45,3,71.60,22,67.50,0,62.40,25,68.00,3,100.00
1/22/2018 2:50,5,71.60,13,68.30,3,62.50,21,68.30,3,100.00
1/22/2018 2:55,6,71.80,9,68.40,5,62.50,20,67.90,3,100.00
1/22/2018 3:00,8,71.80,12,68.10,5,62.50,25,68.20,3,100.00
1/22/2018 3:05,3,72.00,13,68.80,7,62.40,23,67.30,3,100.00
1/22/2018 3:10,5,71.80,8,68.90,4,62.60,17,68.30,3,100.00
1/22/2018 3:15,3,71.90,6,68.50,3,62.70,12,67.90,3,100.00
1/22/2018 3:20,6,71.90,10,69.00,3,62.60,19,68.90,3,100.00
1/22/2018 3:25,5,71.80,8,69.30,1,62.70,14,69.70,3,100.00
1/22/2018 3:30,3,71.50,16,68.90,9,62.70,28,67.20,3,100.00
1/22/2018 3:35,10,71.40,15,68.90,9,62.60,34,68.00,3,100.00
1/22/2018 3:40,8,70.90,13,69.10,8,62.50,29,67.80,3,100.00
1/22/2018 3:45,8,71.30,18,69.30,4,62.60,30,68.90,3,100.00
1/22/2018 3:50,5,71.40,12,69.50,9,62.60,26,67.50,3,100.00
1/22/2018 3:55,7,71.40,15,69.60,7,62.60,29,68.30,3,100.00
1/22/2018 4:00,4,71.50,19,69.30,11,62.50,34,67.40,3,100.00
1/22/2018 4:05,5,71.10,28,68.50,8,62.30,41,67.60,3,100.00
1/22/2018 4:10,11,71.10,33,64.40,17,61.90,61,64.90,3,100.00
