5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
12/11/2017 0:00,7,71.90,15,69.70,7,62.70,29,68.50,3,100.00
12/11/2017 0:05,23,72.20,19,69.80,10,62.60,52,69.50,3,100.00
12/11/2017 0:10,12,72.20,15,69.90,6,62.80,33,69.40,3,100.00
12/11/2017 0:15,10,72.20,14,69.60,4,62.80,28,69.60,3,100.00
12/11/2017 0:20,12,72.20,13,69.80,6,62.80,31,69.40,3,100.00
12/11/2017 0:25,9,72.20,10,69.70,1,62.50,20,70.50,3,100.00
12/11/2017 0:30,8,72.10,9,69.60,6,62.60,23,68.60,3,100.00
12/11/2017 0:35,8,72.00,9,69.70,3,62.40,20,69.50,3,100.00
12/11/2017 0:40,6,72.00,7,69.90,1,62.50,14,70.30,3,100.00
12/11/2017 0:45,13,72.00,11,69.90,6,62.70,30,69.40,3,100.00
12/11/2017 0:50,11,72.00,4,69.70,2,62.80,17,70.40,3,100.00
12/11/2017 0:55,9,72.10,4,69.70,3,62.70,16,69.70,3,100.00
12/11/2017 1:00,4,72.20,6,69.70,4,62.60,14,68.40,3,100.00
12/11/2017 1:05,9,71.80,10,69.90,2,62.60,21,70.00,3,100.00
12/11/2017 1:10,6,71.80,10,69.80,3,62.60,19,69.30,3,100.00
12/11/2017 1:15,6,71.80,1,69.80,2,62.50,9,69.50,3,100.00
12/11/2017 1:20,8,72.10,8,69.80,0,62.50,16,70.90,3,100.00
12/11/2017 1:25,8,72.10,9,69.90,4,62.70,21,69.40,3,100.00
12/11/2017 1:30,8,71.80,11,69.60,5,62.80,24,68.90,3,100.00
12/11/2017 1:35,4,71.70,5,69.80,2,62.80,11,69.20,3,100.00
12/11/2017 1:40,4,71.90,5,69.80,1,62.80,10,69.90,3,100.00
12/11/2017 1:45,4,70.80,9,69.90,2,62.20,15,69.10,3,100.00
12/11/2017 1:50,2,71.50,5,69.80,1,62.50,8,69.30,3,100.00
12/11/2017 1:55,4,71.90,8,69.10,0,62.50,12,70.00,3,100.00
12/11/2017 2:00,2,72.10,5,69.50,0,62.50,7,70.20,3,100.00
12/11/2017 2:05,9,71.50,6,69.80,1,62.40,16,70.30,3,100.00
12/11/2017 2:10,4,71.90,6,69.80,2,61.70,12,69.10,3,100.00
12/11/2017 2:15,9,70.60,3,69.80,2,62.20,14,69.20,3,100.00
12/11/2017 2:20,0,70.60,4,69.80,1,62.50,5,68.30,3,100.00
12/11/2017 2:25,8,71.30,6,69.80,2,62.60,16,69.60,3,100.00
12/11/2017 2:30,3,71.90,9,69.20,3,62.60,15,68.40,3,100.00
12/11/2017 2:35,0,71.90,6,69.60,2,62.60,8,67.90,3,100.00
12/11/2017 2:40,2,72.10,2,69.80,3,62.50,7,67.30,3,100.00
12/11/2017 2:45,9,72.10,9,69.20,3,62.50,21,69.50,3,100.00
12/11/2017 2:50,4,72.20,11,69.60,3,62.40,18,69.00,3,100.00
12/11/2017 2:55,4,71.40,9,69.70,3,62.60,16,68.80,3,100.00
12/11/2017 3:00,4,71.60,7,69.80,4,62.50,15,68.30,3,100.00
12/11/2017 3:05,1,71.80,14,69.80,11,62.50,26,66.80,3,100.00
12/11/2017 3:10,5,71.90,7,69.10,5,62.40,17,68.00,3,100.00
12/11/2017 3:15,6,71.50,10,69.00,4,62.60,20,68.50,3,100.00
12/11/2017 3:20,10,71.80,8,69.50,4,62.70,22,69.30,3,100.00
12/11/2017 3:25,5,71.20,13,69.80,5,62.70,23,68.60,3,100.00
12/11/2017 3:30,16,71.80,17,70.10,12,62.80,45,68.80,3,100.00
12/11/2017 3:35,14,71.30,13,70.10,8,62.10,35,68.80,3,100.00
12/11/2017 3:40,8,70.30,17,68.00,7,62.30,32,67.30,3,100.00
12/11/2017 3:45,7,70.80,15,69.20,7,62.50,29,68.00,3,100.00
12/11/2017 3:50,8,70.70,11,69.60,15,62.60,34,66.80,3,100.00
12/11/2017 3:55,7,71.50,16,68.00,10,62.30,33,67.00,3,100.00
12/11/2017 4:00,11,72.10,14,68.90,18,62.40,43,67.00,3,100.00
12/11/2017 4:05,6,72.10,22,69.50,14,62.40,42,67.50,3,100.00
12/11/2017 4:10,5,72.20,16,69.40,13,62.50,34,67.20,3,100.00
12/11/2017 4:15,4,72.10,25,69.30,27,62.40,56,66.20,3,100.00
12/11/2017 4:20,10,72.10,35,70.30,23,62.40,68,67.90,3,100.00
12/11/2017 4:25,14,72.20,25,70.10,23,62.30,62,67.70,3,100.00
12/11/2017 4:30,14,72.40,28,70.00,34,62.40,76,67.00,3,100.00
12/11/2017 4:35,18,72.70,26,69.40,36,62.10,80,66.90,3,100.00
12/11/2017 4:40,16,72.60,33,68.30,29,62.10,78,66.90,3,100.00
12/11/2017 4:45,23,71.20,43,69.70,50,63.10,116,67.20,3,100.00
12/11/2017 4:50,26,71.90,48,71.20,50,62.40,124,67.80,3,100.00
