5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
10/30/2017 0:00,13,71.90,19,69.70,5,62.70,37,69.50,3,100.00
10/30/2017 0:05,19,72.00,23,69.80,7,62.60,49,69.60,3,100.00
10/30/2017 0:10,13,72.00,15,69.90,5,62.50,33,69.60,3,100.00
10/30/2017 0:15,13,72.20,16,69.50,7,62.50,36,69.10,3,100.00
10/30/2017 0:20,14,72.00,12,69.50,7,62.70,33,69.10,3,100.00
10/30/2017 0:25,9,72.00,14,67.80,3,62.70,26,68.70,3,100.00
10/30/2017 0:30,6,72.00,14,68.90,5,62.80,25,68.40,3,100.00
10/30/2017 0:35,8,72.10,6,69.20,1,62.70,15,70.30,3,100.00
10/30/2017 0:40,8,72.00,20,67.50,4,62.50,32,68.00,3,100.00
10/30/2017 0:45,11,71.00,10,68.50,0,62.50,21,69.80,3,100.00
10/30/2017 0:50,5,71.40,10,69.10,2,62.40,17,69.00,3,100.00
10/30/2017 0:55,6,71.70,12,69.40,2,62.50,20,69.40,3,100.00
10/30/2017 1:00,10,71.80,6,69.00,1,62.40,17,70.30,3,100.00
10/30/2017 1:05,4,71.80,8,69.40,1,62.60,13,69.60,3,100.00
10/30/2017 1:10,8,71.90,8,69.60,4,62.60,20,69.10,3,100.00
10/30/2017 1:15,11,71.80,8,69.70,3,62.60,22,69.80,3,100.00
10/30/2017 1:20,10,71.80,10,69.80,6,62.40,26,68.90,3,100.00
10/30/2017 1:25,8,71.70,8,69.70,5,62.20,21,68.70,3,100.00
10/30/2017 1:30,7,71.80,8,69.90,2,62.50,17,69.80,3,100.00
10/30/2017 1:35,0,71.80,4,69.70,2,62.40,6,67.30,3,100.00
10/30/2017 1:40,6,72.00,9,69.90,0,62.40,15,70.70,3,100.00
10/30/2017 1:45,5,71.80,5,69.90,2,62.50,12,69.50,3,100.00
10/30/2017 1:50,6,71.10,4,69.80,0,62.50,10,70.60,3,100.00
10/30/2017 1:55,4,71.30,5,69.70,2,62.70,11,69.00,3,100.00
10/30/2017 2:00,5,71.90,6,69.70,3,62.70,14,69.00,3,100.00
10/30/2017 2:05,4,72.10,8,69.60,2,62.60,14,69.30,3,100.00
10/30/2017 2:10,4,71.50,3,69.70,1,62.70,8,69.70,3,100.00
10/30/2017 2:15,5,71.10,2,69.60,1,62.60,8,69.70,3,100.00
10/30/2017 2:20,4,71.70,6,69.70,2,62.30,12,69.10,3,100.00
10/30/2017 2:25,7,72.00,11,68.80,4,62.50,22,68.70,3,100.00
10/30/2017 2:30,5,72.00,6,69.20,1,62.60,12,69.80,3,100.00
10/30/2017 2:35,3,72.20,5,69.20,5,62.60,13,67.40,3,100.00
10/30/2017 2:40,11,72.10,7,69.40,1,63.10,19,70.60,3,100.00
10/30/2017 2:45,6,71.70,12,69.60,2,62.80,20,69.50,3,100.00
10/30/2017 2:50,7,72.00,15,68.90,8,62.80,30,68.00,3,100.00
10/30/2017 2:55,8,70.40,13,69.40,6,62.90,27,68.30,3,100.00
10/30/2017 3:00,8,71.30,8,68.90,3,62.60,19,68.90,3,100.00
10/30/2017 3:05,1,71.60,7,69.40,8,62.40,16,66.00,3,100.00
10/30/2017 3:10,6,71.70,7,69.40,4,62.60,17,68.60,3,100.00
10/30/2017 3:15,12,72.10,7,69.60,6,62.90,25,69.20,3,100.00
10/30/2017 3:20,6,71.40,6,69.70,6,62.80,18,68.00,3,100.00
10/30/2017 3:25,8,71.80,10,69.70,3,62.60,21,69.50,3,100.00
10/30/2017 3:30,8,72.10,15,69.40,9,62.60,32,68.20,3,100.00
10/30/2017 3:35,13,72.30,17,69.60,7,62.60,37,69.20,3,100.00
10/30/2017 3:40,8,70.90,17,69.60,5,62.50,30,68.80,3,100.00
10/30/2017 3:45,5,71.30,12,69.30,4,62.50,21,68.50,3,100.00
10/30/2017 3:50,11,71.60,14,69.60,7,62.60,32,68.80,3,100.00
10/30/2017 3:55,6,72.00,19,69.80,8,62.80,33,68.50,3,100.00
10/30/2017 4:00,7,72.10,19,67.80,9,62.70,35,67.30,3,100.00
10/30/2017 4:05,8,72.20,16,68.60,10,62.70,34,67.70,3,100.00
10/30/2017 4:10,10,72.00,27,69.60,22,62.40,59,67.30,3,100.00
10/30/2017 4:15,6,72.00,21,69.90,16,62.50,43,67.40,3,100.00
10/30/2017 4:20,13,72.00,29,69.30,26,62.80,68,67.30,3,100.00
10/30/2017 4:25,15,72.00,26,69.50,19,62.90,60,68.00,3,100.00
10/30/2017 4:30,14,72.40,27,69.80,26,62.30,67,67.40,3,100.00
10/30/2017 4:35,13,72.70,34,69.90,32,62.80,79,67.50,3,100.00
10/30/2017 4:40,18,72.90,41,69.40,41,63.40,100,67.60,3,100.00
10/30/2017 4:45,20,72.40,37,69.80,38,63.90,95,68.00,3,100.00
10/30/2017 4:50,26,71.60,43,70.40,51,63.10,120,67.60,3,100.00
10/30/2017 4:55,16,72.20,48,69.60,55,62.60,119,66.70,3,100.00
10/30/2017 5:00,24,70.00,43,69.00,50,63.20,117,66.70,3,100.00
10/30/2017 5:05,35,70.90,58,69.50,55,63.40,148,67.60,3,100.00
10/30/2017 5:10,29,69.30,50,67.30,71,61.80,150,65.10,3,100.00
10/30/2017 5:15,28,72.00,40,67.90,64,62.70,132,66.20,3,100.00
10/30/2017 5:20,25,72.60,56,67.10,77,62.80,158,65.90,3,100.00
10/30/2017 5:25,23,70.70,46,69.40,68,62.80,137,66.30,3,100.00
10/30/2017 5:30,20,71.70,63,68.00,76,62.90,159,66.00,3,100.00
10/30/2017 5:35,24,71.50,63,69.20,76,62.40,163,66.40,3,100.00
10/30/2017 5:40,36,71.70,73,69.90,111,63.00,220,66.70,3,100.00
10/30/2017 5:45,36,70.40,64,67.60,96,61.30,196,65.00,3,100.00
10/30/2017 5:50,45,71.20,64,69.00,106,61.70,215,65.90,3,100.00
10/30/2017 5:55,48,72.70,61,69.00,92,61.00,201,66.20,3,100.00
10/30/2017 6:00,40,74.00,67,69.70,79,60.10,186,66.50,3,100.00
10/30/2017 6:05,42,73.50,66,64.70,90,58.70,198,63.80,3,100.00
10/30/2017 6:10,38,74.60,72,64.00,91,58.50,201,63.50,3,100.00
10/30/2017 6:15,37,69.60,55,66.70,90,58.80,182,63.40,3,100.00
10/30/2017 6:20,39,70.90,81,67.80,105,58.10,225,63.80,3,100.00
10/30/2017 6:25,28,72.20,70,68.80,94,56.60,192,63.30,3,100.00
10/30/2017 6:30,45,71.50,67,71.20,96,57.00,208,64.70,3,100.00
10/30/2017 6:35,46,68.40,66,69.80,96,58.10,208,64.10,3,100.00
10/30/2017 6:40,56,72.30,73,69.70,85,57.70,214,65.60,3,100.00
10/30/2017 6:45,51,70.40,74,67.90,108,57.80,233,63.80,3,100.00
10/30/2017 6:50,43,68.50,85,68.30,120,56.40,248,62.60,3,100.00
10/30/2017 6:55,39,68.50,68,69.60,87,57.30,194,63.90,3,100.00
10/30/2017 7:00,56,67.80,74,66.40,96,57.00,226,62.80,3,100.00
10/30/2017 7:05,50,68.00,76,67.30,98,55.80,224,62.40,3,100.00
10/30/2017 7:10,47,69.30,80,65.90,107,56.50,234,62.30,3,100.00
10/30/2017 7:15,57,67.90,84,66.00,112,56.50,253,62.20,3,100.00
10/30/2017 7:20,65,67.60,98,65.00,125,56.10,288,61.70,3,100.00
10/30/2017 7:25,53,66.70,77,65.40,113,55.80,243,61.20,3,100.00
10/30/2017 7:30,62,69.20,78,64.70,115,56.40,255,62.10,3,100.00
10/30/2017 7:35,48,71.40,79,66.40,107,56.70,234,63.00,3,100.00
10/30/2017 7:40,60,67.10,84,67.40,113,57.60,257,63.00,3,100.00
10/30/2017 7:45,80,68.50,91,66.30,139,56.80,310,62.60,3,100.00
10/30/2017 7:50,56,70.30,91,67.10,118,58.50,265,63.90,3,100.00
10/30/2017 7:55,67,72.40,83,67.50,131,59.40,281,64.90,3,100.00
10/30/2017 8:00,79,70.90,90,68.50,111,59.30,280,65.50,3,100.00
10/30/2017 8:05,67,68.60,87,65.50,109,60.00,263,64.00,3,100.00
10/30/2017 8:10,76,68.90,86,65.50,119,60.30,281,64.20,3,100.00
10/30/2017 8:15,70,68.20,89,63.60,118,58.30,277,62.50,3,100.00
10/30/2017 8:20,90,67.90,80,65.10,111,58.50,281,63.40,3,100.00
10/30/2017 8:25,78,66.10,85,65.70,112,57.50,275,62.50,3,100.00
