5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
12/18/2017 0:00,18,71.90,11,69.70,10,62.70,39,68.90,3,100.00
12/18/2017 0:05,14,72.30,14,69.80,3,62.70,31,70.20,3,100.00
12/18/2017 0:10,14,72.30,9,69.80,3,62.70,26,70.30,3,100.00
12/18/2017 0:15,19,72.40,7,69.90,4,62.70,30,70.50,3,100.00
12/18/2017 0:20,9,72.20,13,69.00,3,62.60,25,69.40,3,100.00
12/18/2017 0:25,10,72.10,10,69.30,2,62.70,22,70.00,3,100.00
12/18/2017 0:30,12,72.10,18,69.40,2,62.70,32,70.00,3,100.00
12/18/2017 0:35,13,72.10,11,69.30,1,62.80,25,70.50,3,100.00
12/18/2017 0:40,7,72.00,14,69.70,3,62.80,24,69.50,3,100.00
12/18/2017 0:45,11,71.60,4,69.80,2,62.80,17,70.10,3,100.00
12/18/2017 0:50,12,72.00,4,69.70,0,62.80,16,71.40,3,100.00
12/18/2017 0:55,17,72.40,11,69.70,1,62.90,29,71.00,3,100.00
12/18/2017 1:00,12,72.60,6,69.70,1,62.90,19,71.20,3,100.00
12/18/2017 1:05,9,72.50,5,69.80,2,62.80,16,70.40,3,100.00
12/18/2017 1:10,11,72.40,12,69.80,5,62.80,28,69.60,3,100.00
12/18/2017 1:15,10,72.30,3,69.80,2,62.80,15,70.50,3,100.00
12/18/2017 1:20,10,72.10,4,69.80,0,62.80,14,71.40,3,100.00
12/18/2017 1:25,11,72.00,6,69.90,1,62.60,18,70.80,3,100.00
12/18/2017 1:30,6,72.00,7,69.80,1,62.40,14,70.20,3,100.00
12/18/2017 1:35,7,72.10,7,69.90,1,62.60,15,70.40,3,100.00
12/18/2017 1:40,8,72.10,3,69.80,3,62.70,14,69.60,3,100.00
12/18/2017 1:45,12,71.50,6,69.70,0,62.70,18,70.90,3,100.00
12/18/2017 1:50,6,72.00,6,69.70,1,62.80,13,70.20,3,100.00
12/18/2017 1:55,2,72.10,5,69.60,0,62.80,7,70.30,3,100.00
12/18/2017 2:00,7,72.10,6,69.70,1,62.60,14,70.40,3,100.00
12/18/2017 2:05,4,71.90,5,69.80,0,62.60,9,70.70,3,100.00
12/18/2017 2:10,3,72.10,5,69.80,1,62.60,9,69.80,3,100.00
