5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
1/01/2018 0:00,15,71.90,13,69.70,3,62.70,31,70.10,3,100.00
1/01/2018 0:05,12,72.10,12,69.60,1,62.70,25,70.50,3,100.00
1/01/2018 0:10,7,71.30,14,69.80,4,62.70,25,69.10,3,100.00
1/01/2018 0:15,18,71.60,16,68.90,4,62.80,38,69.50,3,100.00
1/01/2018 0:20,25,71.60,25,69.20,6,62.70,56,69.60,3,100.00
1/01/2018 0:25,25,71.70,24,69.70,8,62.80,57,69.60,3,100.00
1/01/2018 0:30,24,70.30,30,70.00,11,62.80,65,68.90,3,100.00
1/01/2018 0:35,33,71.40,30,69.10,11,62.70,74,69.20,3,100.00
1/01/2018 0:40,28,71.40,34,69.60,10,62.80,72,69.40,3,100.00
1/01/2018 0:45,32,71.10,28,69.70,10,62.90,70,69.40,3,100.00
1/01/2018 0:50,34,71.10,38,70.70,22,62.80,94,69.00,3,100.00
1/01/2018 0:55,26,71.20,25,68.70,15,62.70,66,68.30,3,100.00
1/01/2018 1:00,28,72.00,26,69.40,6,62.50,60,69.90,3,100.00
1/01/2018 1:05,17,72.00,22,69.80,5,62.70,44,69.80,3,100.00
1/01/2018 1:10,32,70.90,21,69.80,8,62.70,61,69.40,3,100.00
1/01/2018 1:15,26,71.70,25,70.00,11,62.70,62,69.40,3,100.00
1/01/2018 1:20,25,71.90,22,70.00,5,62.70,52,70.20,3,100.00
1/01/2018 1:25,23,71.50,28,70.30,11,62.60,62,69.40,3,100.00
1/01/2018 1:30,26,72.00,25,70.00,10,62.40,61,69.60,3,100.00
1/01/2018 1:35,20,72.40,20,70.10,4,62.60,44,70.50,3,100.00
1/01/2018 1:40,21,72.00,16,69.70,9,62.60,46,69.40,3,100.00
1/01/2018 1:45,20,72.20,27,70.10,11,62.60,58,69.40,3,100.00
1/01/2018 1:50,21,72.00,20,70.20,11,62.60,52,69.30,3,100.00
1/01/2018 1:55,23,71.50,17,70.20,9,62.60,49,69.40,3,100.00
1/01/2018 2:00,9,71.80,16,70.20,6,62.40,31,69.20,3,100.00
1/01/2018 2:05,24,71.80,16,70.20,3,62.50,43,70.60,3,100.00
