5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
2/19/2018 0:00,15,71.90,18,69.70,10,62.70,43,68.80,3,100.00
2/19/2018 0:05,14,71.90,15,69.60,4,62.50,33,69.70,3,100.00
2/19/2018 0:10,23,71.30,10,69.60,4,62.50,37,69.90,3,100.00
2/19/2018 0:15,8,71.70,13,69.60,5,62.40,26,68.90,3,100.00
2/19/2018 0:20,11,71.80,14,69.80,9,62.50,34,68.50,3,100.00
2/19/2018 0:25,7,72.00,16,69.70,4,62.60,27,69.20,3,100.00
2/19/2018 0:30,12,71.60,13,69.80,7,62.50,32,68.90,3,100.00
2/19/2018 0:35,12,71.90,9,69.90,1,62.60,22,70.70,3,100.00
2/19/2018 0:40,15,71.90,10,69.80,3,62.80,28,70.20,3,100.00
2/19/2018 0:45,13,72.00,9,69.90,2,62.80,24,70.40,3,100.00
2/19/2018 0:50,7,71.90,11,69.70,5,62.80,23,68.90,3,100.00
2/19/2018 0:55,11,72.00,13,69.80,3,62.70,27,69.90,3,100.00
2/19/2018 1:00,5,71.20,11,70.00,3,62.60,19,69.10,3,100.00
2/19/2018 1:05,7,71.20,9,69.40,2,62.70,18,69.40,3,100.00
2/19/2018 1:10,14,71.70,13,69.60,3,62.70,30,69.90,3,100.00
2/19/2018 1:15,9,71.90,4,69.70,1,62.80,14,70.60,3,100.00
2/19/2018 1:20,7,72.00,11,69.70,1,62.90,19,70.20,3,100.00
2/19/2018 1:25,7,72.00,5,69.60,1,62.80,13,70.40,3,100.00
2/19/2018 1:30,9,71.00,11,69.80,5,62.50,25,68.80,3,100.00
2/19/2018 1:35,4,71.60,8,69.70,8,62.50,20,67.20,3,100.00
2/19/2018 1:40,8,71.80,6,69.80,3,62.60,17,69.50,3,100.00
2/19/2018 1:45,5,72.00,6,69.60,1,62.50,12,70.00,3,100.00
2/19/2018 1:50,7,72.10,5,69.60,3,62.60,15,69.40,3,100.00
2/19/2018 1:55,11,71.40,9,69.80,1,62.60,21,70.30,3,100.00
2/19/2018 2:00,5,71.70,14,69.70,1,62.50,20,69.80,3,100.00
2/19/2018 2:05,10,71.40,8,69.80,1,62.60,19,70.30,3,100.00
2/19/2018 2:10,5,71.70,11,69.60,5,62.60,21,68.40,3,100.00
2/19/2018 2:15,3,71.90,4,69.60,0,62.60,7,70.60,3,100.00
2/19/2018 2:20,6,72.00,6,69.60,0,62.60,12,70.80,3,100.00
2/19/2018 2:25,5,71.50,2,69.70,5,62.60,12,67.50,3,100.00
2/19/2018 2:30,6,71.80,5,69.70,5,62.50,16,68.20,3,100.00
2/19/2018 2:35,3,72.00,7,69.60,3,62.60,13,68.50,3,100.00
2/19/2018 2:40,4,72.00,7,69.70,6,62.70,17,67.80,3,100.00
