,5 Minutes,Lane 1 Flow (Veh/5 Minutes),Lane 1 Speed (mph),Lane 2 Flow (Veh/5 Minutes),Lane 2 Speed (mph),Lane 3 Flow (Veh/5 Minutes),Lane 3 Speed (mph),Flow (Veh/5 Minutes),Speed (mph),# Lane Points,% Observed
0,2017-12-04 00:00:00,3,71.9,10,69.7,7,62.7,20,67.6,3,100
1,2017-12-04 00:05:00,4,71.8,9,70.0,7,62.9,20,67.9,3,100
2,2017-12-04 00:10:00,7,71.9,13,69.2,13,62.3,33,67.1,3,100
3,2017-12-04 00:15:00,1,71.7,8,69.7,8,62.8,17,66.6,3,100
4,2017-12-04 00:20:00,6,71.9,9,69.6,11,61.8,26,66.8,3,100
5,2017-12-04 00:25:00,4,71.9,15,69.9,9,62.6,28,67.8,3,100
6,2017-12-04 00:30:00,2,71.9,8,69.7,12,62.0,22,65.7,3,100
7,2017-12-04 00:35:00,2,71.9,10,69.6,16,62.5,28,65.7,3,100
8,2017-12-04 00:40:00,3,71.8,9,69.8,5,62.5,17,68.0,3,100
9,2017-12-04 00:45:00,6,71.9,10,69.8,7,62.4,23,68.1,3,100
10,2017-12-04 00:50:00,4,71.9,10,69.6,8,62.9,22,67.6,3,100
11,2017-12-04 00:55:00,2,71.9,6,69.6,12,62.8,20,65.8,3,100
12,2017-12-04 01:00:00,2,72.0,8,69.5,19,63.0,29,65.4,3,100
13,2017-12-04 01:05:00,2,71.9,3,69.6,10,62.8,15,65.4,3,100
14,2017-12-04 01:10:00,0,71.9,5,69.8,5,62.8,10,66.3,3,100
15,2017-12-04 01:15:00,1,71.8,1,69.5,6,63.1,8,65.0,3,100
16,2017-12-04 01:20:00,1,71.8,3,69.4,8,62.9,12,65.3,3,100
17,2017-12-04 01:25:00,1,71.7,6,69.8,4,62.9,11,67.5,3,100
18,2017-12-04 01:30:00,3,71.8,10,69.6,3,62.9,16,68.8,3,100
19,2017-12-04 01:35:00,1,71.9,7,69.5,8,63.0,16,66.4,3,100
20,2017-12-04 01:40:00,5,71.7,10,68.7,22,61.8,37,65.0,3,100
21,2017-12-04 01:45:00,1,72.0,4,69.2,6,62.4,11,65.7,3,100
22,2017-12-04 01:50:00,3,71.8,9,69.6,11,62.4,23,66.4,3,100
23,2017-12-04 01:55:00,4,71.8,5,69.7,9,62.6,18,66.6,3,100
24,2017-12-04 02:00:00,2,71.8,4,70.0,9,62.1,15,65.5,3,100
25,2017-12-04 02:05:00,1,71.9,3,69.9,9,61.8,13,64.4,3,100
26,2017-12-04 02:10:00,4,71.8,2,69.5,11,61.7,17,65.0,3,100
27,2017-12-04 02:15:00,2,71.8,2,69.7,13,62.7,17,64.6,3,100
28,2017-12-04 02:20:00,5,71.9,9,69.8,20,62.3,34,65.7,3,100
29,2017-12-04 02:25:00,2,72.0,8,69.6,10,62.9,20,66.5,3,100
30,2017-12-04 02:30:00,1,72.0,5,69.7,6,63.0,12,66.5,3,100
31,2017-12-04 02:35:00,3,71.8,7,69.7,9,62.4,19,66.6,3,100
32,2017-12-04 02:40:00,0,71.8,3,69.8,7,62.7,10,64.8,3,100
33,2017-12-04 02:45:00,1,71.9,7,69.5,7,62.6,15,66.4,3,100
34,2017-12-04 02:50:00,3,71.8,8,69.3,18,62.4,29,65.3,3,100
35,2017-12-04 02:55:00,2,71.8,5,69.5,10,62.9,17,65.9,3,100
36,2017-12-04 03:00:00,2,71.8,5,69.2,7,62.5,14,66.2,3,100
37,2017-12-04 03:05:00,2,71.9,11,69.7,13,61.9,26,66.0,3,100
38,2017-12-04 03:10:00,1,72.0,0,69.7,14,62.3,15,62.9,3,100
39,2017-12-04 03:15:00,2,71.9,6,70.0,13,62.4,21,65.5,3,100
40,2017-12-04 03:20:00,2,71.9,10,70.4,12,62.3,24,66.5,3,100
41,2017-12-04 03:25:00,1,71.7,6,70.0,9,62.8,16,66.1,3,100
42,2017-12-04 03:30:00,2,71.6,4,70.0,19,60.9,25,63.2,3,100
43,2017-12-04 03:35:00,3,71.6,9,70.3,7,61.8,19,67.4,3,100
44,2017-12-04 03:40:00,2,71.7,12,70.4,20,61.5,34,65.2,3,100
45,2017-12-04 03:45:00,6,71.8,9,70.3,17,62.4,32,66.4,3,100
46,2017-12-04 03:50:00,3,71.8,7,70.4,16,62.6,26,65.8,3,100
47,2017-12-04 03:55:00,2,71.9,9,70.0,24,63.2,35,65.4,3,100
48,2017-12-04 04:00:00,3,71.9,8,70.0,13,61.6,24,65.7,3,100
49,2017-12-04 04:05:00,7,71.8,9,69.9,17,62.0,33,66.2,3,100
50,2017-12-04 04:10:00,3,71.9,11,70.2,20,59.6,34,64.1,3,100
51,2017-12-04 04:15:00,6,71.8,15,70.2,22,61.4,43,65.9,3,100
52,2017-12-04 04:20:00,10,71.7,15,70.1,28,64.2,53,67.3,3,100
53,2017-12-04 04:25:00,5,71.8,17,70.1,17,63.0,39,67.2,3,100
54,2017-12-04 04:30:00,3,71.9,9,70.3,19,62.4,31,65.6,3,100
55,2017-12-04 04:35:00,9,71.9,14,69.3,21,62.9,44,66.8,3,100
56,2017-12-04 04:40:00,8,72.1,14,69.8,21,61.0,43,65.9,3,100
57,2017-12-04 04:45:00,6,71.9,22,69.2,27,61.1,55,65.5,3,100
58,2017-12-04 04:50:00,12,72.0,17,68.6,25,62.0,54,66.3,3,100
59,2017-12-04 04:55:00,14,71.9,25,69.6,21,63.1,60,67.9,3,100
60,2017-12-04 05:00:00,15,71.9,20,70.0,31,61.9,66,66.6,3,100
61,2017-12-04 05:05:00,16,71.9,24,68.8,25,62.7,65,67.2,3,100
62,2017-12-04 05:10:00,16,71.9,22,70.4,28,63.1,66,67.7,3,100
63,2017-12-04 05:15:00,13,71.9,18,70.2,32,62.0,63,66.4,3,100
64,2017-12-04 05:20:00,26,71.9,24,69.3,28,62.8,78,67.8,3,100
65,2017-12-04 05:25:00,27,71.9,29,67.7,28,64.3,84,67.9,3,100
66,2017-12-04 05:30:00,21,72.1,30,69.7,23,64.4,74,68.7,3,100
67,2017-12-04 05:35:00,17,71.9,25,70.6,27,62.8,69,67.9,3,100
68,2017-12-04 05:40:00,24,72.1,34,69.7,30,60.2,88,67.1,3,100
69,2017-12-04 05:45:00,31,72.1,32,71.0,35,61.2,98,67.8,3,100
70,2017-12-04 05:50:00,23,72.0,27,71.0,25,61.9,75,68.3,3,100
71,2017-12-04 05:55:00,23,72.0,27,71.4,34,61.4,84,67.5,3,100
72,2017-12-04 06:00:00,13,72.0,30,68.1,37,63.7,80,66.7,3,100
73,2017-12-04 06:05:00,25,72.0,33,68.3,36,64.0,94,67.6,3,100
74,2017-12-04 06:10:00,32,71.8,41,69.9,36,61.7,109,67.7,3,100
75,2017-12-04 06:15:00,28,71.9,32,69.2,37,63.5,97,67.8,3,100
76,2017-12-04 06:20:00,23,71.6,42,69.4,32,63.6,97,68.0,3,100
77,2017-12-04 06:25:00,28,71.7,42,70.6,35,61.7,105,67.9,3,100
78,2017-12-04 06:30:00,23,71.8,27,70.1,36,64.4,86,68.2,3,100
79,2017-12-04 06:35:00,26,71.8,39,71.0,32,64.5,97,69.1,3,100
80,2017-12-04 06:40:00,24,71.6,44,71.6,34,65.6,102,69.6,3,100
81,2017-12-04 06:45:00,26,71.8,40,70.3,19,63.2,85,69.2,3,100
82,2017-12-04 06:50:00,29,71.6,37,71.1,41,65.8,107,69.2,3,100
83,2017-12-04 06:55:00,37,72.1,42,69.4,46,66.4,125,69.1,3,100
84,2017-12-04 07:00:00,31,72.1,33,67.4,32,64.7,96,68.0,3,100
85,2017-12-04 07:05:00,31,71.9,41,68.0,36,61.0,108,66.8,3,100
86,2017-12-04 07:10:00,43,71.5,46,72.1,38,61.8,127,68.8,3,100
87,2017-12-04 07:15:00,39,71.7,36,71.1,39,59.6,114,67.4,3,100
